mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004692459106445312,0.003020353946620623,0.007902717590332032,0.0015915854394774,ball_tree,10,"{'algorithm': 'ball_tree', 'leaf_size': 10}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.0035491943359375,0.003072992767331163,0.002686595916748047,0.003225386503819426,ball_tree,20,"{'algorithm': 'ball_tree', 'leaf_size': 20}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.003105497360229492,0.0038064030229675674,0.004856014251708984,0.003965918351359228,ball_tree,30,"{'algorithm': 'ball_tree', 'leaf_size': 30}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.0018541812896728516,0.001618829608865423,0.008431386947631837,0.0034475816674395523,ball_tree,40,"{'algorithm': 'ball_tree', 'leaf_size': 40}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.0026731491088867188,0.002294698884735867,0.007027339935302734,0.002142919979424576,kd_tree,10,"{'algorithm': 'kd_tree', 'leaf_size': 10}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.00490260124206543,0.00400621360012818,0.00832958221435547,0.00042725360812663515,kd_tree,20,"{'algorithm': 'kd_tree', 'leaf_size': 20}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.006619405746459961,0.0033227020712641563,0.007990360260009766,0.005077669646574815,kd_tree,30,"{'algorithm': 'kd_tree', 'leaf_size': 30}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.004798698425292969,0.003918121833048001,0.008150291442871094,0.00029630867429713496,kd_tree,40,"{'algorithm': 'kd_tree', 'leaf_size': 40}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.0032573699951171874,0.003070963468728267,0.05331745147705078,0.07247672008598151,brute,10,"{'algorithm': 'brute', 'leaf_size': 10}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.0029994964599609373,0.0029241802344472864,0.018416166305541992,0.0031681679223539484,brute,20,"{'algorithm': 'brute', 'leaf_size': 20}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.005420303344726563,0.0021226643368499167,0.01639690399169922,0.004144341422544633,brute,30,"{'algorithm': 'brute', 'leaf_size': 30}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
0.0032338619232177733,0.003961032976366204,0.013076686859130859,0.0036951273668376044,brute,40,"{'algorithm': 'brute', 'leaf_size': 40}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,1
